,30-39,40-49,50-59,60-69
ENSG00000285159.1,0.4500384367954484,0.16187592640370713,0.18629968011142983,0.10033331562732391
ENSG00000274601.1,0.0,0.0,0.0,0.0
ENSG00000214558.4,0.7078726832382477,0.3567063946460601,0.5943745798837354,0.3624518238534837
ENSG00000228013.1,0.69816577972875,0.26652374534375906,0.4446149899533536,0.44829281065707843
ENSG00000139343.11,0.16914153999704154,0.14543773385898412,0.3226137588327375,0.3687406836664862
ENSG00000218410.1,0.3333333333333333,0.0,0.0,0.0
ENSG00000262920.5,0.22267351958143147,0.2060667686248591,0.46612662718791853,0.36765618727989774
ENSG00000214837.8,0.818975720311823,0.4100845998167194,0.4877414915740603,0.4824654628893204
ENSG00000252984.1,0.0,0.14285714285714285,0.14054612629089408,0.0
ENSG00000183597.16,0.29261669069102547,0.7413979711836632,0.6708240310838923,0.49435162104693103
ENSG00000269855.3,0.3333333333333333,0.16628683848509201,0.10620807878599615,0.05271574684476352
ENSG00000248347.3,0.0,0.24536042385651097,0.0,0.0418377377036785
ENSG00000231053.1,0.0,0.0,0.0,0.0
ENSG00000213901.11,0.16402322446559756,0.30518578470804936,0.41568708734926824,0.36877911738237273
ENSG00000188312.14,0.15193070827083652,0.08894321213031277,0.2565188592709822,0.4587995988394295
ENSG00000207157.1,0.0,0.0,0.0,0.0
ENSG00000267658.1,0.5370430992183158,0.45415891501797995,0.1978491220235192,0.1784331196474653
ENSG00000175470.20,0.2816119511849205,0.280538127494614,0.5145472718800019,0.443634386671079
ENSG00000276046.1,0.0,0.0,0.0,0.0
ENSG00000259002.2,0.22027215988540635,0.10081219213922736,0.3309505132839944,0.2420676875504473
ENSG00000234832.1,0.28138689729602057,0.3538576044803892,0.12430307430236255,0.36009369844726935
ENSG00000183479.13,0.5970041901407549,0.41724865097506064,0.3653237909724693,0.2634848558535268
ENSG00000104957.14,0.4386404871403197,0.3260886731162477,0.4384240186535025,0.39358440954930085
ENSG00000099260.12,0.3060796962363648,0.33737005101859163,0.2625859397112044,0.3692493624538451
ENSG00000243018.1,0.539960806756499,0.29926776516756226,0.46268785876558627,0.28464830133707925
ENSG00000260495.1,0.8185235192270626,0.28195732709295734,0.4935921902857226,0.2852861073724925
ENSG00000227484.1,0.33461596703363977,0.21742408656016948,0.2852163659034014,0.1671940897682496
ENSG00000285448.1,0.19237651176762535,0.19839746101402714,0.09552869419846928,0.16666666666666666
ENSG00000288996.1,0.45845675658512147,0.18842640520056003,0.15690488118674484,0.14201753209945361
ENSG00000252373.1,0.0,0.0,0.0,0.0
ENSG00000118004.18,0.11218023667914767,0.22392510512891298,0.05943373348055835,0.07215372597724047
ENSG00000206948.1,0.0,0.0,0.0,0.0
ENSG00000226029.1,0.6742277118627394,0.45663879683270514,0.5363000019676132,0.6175503708950673
ENSG00000266718.2,0.3972497002091373,0.14253370198888068,0.18528589611888494,0.37066469670987195
ENSG00000087053.20,0.1561984948955851,0.11422652687656962,0.3725586044512798,0.4919087853236279
ENSG00000218890.1,0.2651349255229362,0.21753624463540294,0.13401594470676795,0.22956157759072973
ENSG00000222305.1,0.6551404673640567,0.0,0.0,0.0
ENSG00000234933.1,0.21558099920219076,0.04120577010155896,0.24010492601604574,0.06541538328846692
ENSG00000166913.13,0.1168102734271203,0.3947332039873396,0.3791324612686294,0.3338954788414572
ENSG00000228606.3,0.569293510529655,0.3298617711650938,0.2932936145765123,0.16618188747784765
ENSG00000280660.1,0.3079760053321484,0.22496905449582633,0.04285343997630156,0.23644745612086204
ENSG00000230725.6,0.671282692230983,0.35631563851590714,0.43423881007148973,0.28231550302047187
ENSG00000287655.1,0.5874275454008653,0.21179270305425232,0.2307327146179682,0.21811352066946588
ENSG00000143318.13,0.2836198301750293,0.2097817900157015,0.12457889996567716,0.24598792592802868
ENSG00000233716.1,0.47042037583423363,0.1534689046677371,0.32981668797222347,0.27763878271210257
ENSG00000289287.1,0.0,0.0,0.0,0.16666666666666666
ENSG00000011566.15,0.6705246159502235,0.39014717115852154,0.5597388787282263,0.39367603464242995
ENSG00000199878.1,0.0,0.0,0.0,0.0
ENSG00000238962.1,0.0,0.0,0.0,0.0
ENSG00000244356.3,0.512698728611924,0.12902118410702307,0.0,0.16666666666666666
ENSG00000187955.13,0.2546678994285748,0.3302247368456173,0.3576459042177609,0.4067982074040353
ENSG00000270560.1,0.0,0.0,0.0,0.0
ENSG00000141449.16,0.05739398031983519,0.4203338687699862,0.3503878447030501,0.32366791211011703
ENSG00000185803.12,0.1824560750735247,0.5647005512777324,0.384800649901321,0.36275330570632586
ENSG00000242943.1,0.0,0.0,0.0,0.0
ENSG00000226245.1,0.5246065755899839,0.38777226062139813,0.5262192053240655,0.570381765129595
ENSG00000236049.1,0.0,0.0,0.16666666666666666,0.0
ENSG00000204758.8,0.8458137717937554,0.4705692953105517,0.33241975363529724,0.3813379252686386
ENSG00000172216.6,0.1011177717056027,0.47956506923592934,0.4875121441053836,0.483263873407388
ENSG00000267145.1,0.3333333333333333,0.0730755337890993,0.27524703327386957,0.15758809690012668
ENSG00000253644.2,0.0,0.0,0.0,0.0
ENSG00000072501.19,0.10378729541927346,0.17680417759066644,0.10586587305284641,0.20991898525584637
ENSG00000278438.1,0.0,0.0,0.0,0.0
ENSG00000196758.3,0.0,0.14285714285714285,0.0,0.0
ENSG00000205076.5,0.11408351143895483,0.20874224364373806,0.06665751882929859,0.03757931590808918
ENSG00000232393.1,0.14371961891685572,0.07282801992403978,0.27186767568959136,0.11337116275411056
ENSG00000279106.1,0.19038923817543682,0.24487281417021003,0.36191447017135087,0.43369327786958417
ENSG00000276988.1,0.4088198280960951,0.2827103719430966,0.5696742509092282,0.4384498655558772
ENSG00000167977.9,0.5920093482666372,0.6562037585631378,0.638690874628795,0.4647289255704075
ENSG00000273989.1,0.43445587816998316,0.42061098897487337,0.2505320066716512,0.14517883992614702
ENSG00000243838.1,0.3333333333333333,0.0,0.0,0.07907351806875626
ENSG00000236648.2,0.0,0.0,0.0,0.16666666666666666
ENSG00000211623.2,0.0,0.0,0.16666666666666666,0.0
ENSG00000077327.16,0.35445576617774494,0.11481915767388529,0.06486847076483895,0.012400326580351626
ENSG00000230119.1,0.0,0.0,0.0,0.0
ENSG00000205184.2,0.3240896819197193,0.22194943841122353,0.04638956269100577,0.20461428825939784
ENSG00000226533.1,0.3019053091360259,0.11224827059181608,0.2802466342250539,0.13726878571077472
ENSG00000278588.2,0.37878659711452606,0.13083015447825824,0.14118210442220028,0.23284430659335498
ENSG00000230704.1,0.0,0.0,0.0,0.0
ENSG00000254562.7,0.09595979323724334,0.14285714285714285,0.04682759788029114,0.0
ENSG00000203620.2,0.3988879851616596,0.07905768915103127,0.12532544938912343,0.0412099616561447
ENSG00000185839.3,0.6284183442427237,0.310708375235978,0.4302778806965543,0.4194126425425055
ENSG00000276405.1,0.6049462742849645,0.17926946148777587,0.11781363295367352,0.2351655271167247
ENSG00000238249.2,0.3747555758392051,0.20315325056968253,0.5347295657691152,0.31029206600101666
ENSG00000235066.7,0.25095235805457156,0.2723877606629374,0.11523933171980101,0.47978142514438976
ENSG00000096968.14,0.1616684311708553,0.28770212674140605,0.39727626886223955,0.2392392087863003
ENSG00000285177.1,0.0,0.21550656838911103,0.04682908626743079,0.0992218580767276
ENSG00000261260.2,0.697431173112235,0.24603905748503313,0.14800992686457726,0.40359378818928726
