,30-39,40-49,50-59,60-69
ENSG00000285159.1,0.04100614794737886,0.17900112381833805,0.08869984134329345,0.0
ENSG00000274601.1,0.0,0.0,0.0,0.0
ENSG00000214558.4,0.15026195213668972,0.12851353571493768,0.3323478943429291,0.18233237801427502
ENSG00000228013.1,0.7694352747335628,0.37987303254103166,0.14807685055724124,0.6532493168645971
ENSG00000139343.11,0.3969658934816121,0.10794404155644732,0.5447419367415858,0.4455272684193794
ENSG00000218410.1,0.0,0.0,0.0,0.0
ENSG00000262920.5,0.5699450786286124,0.17823413745840938,0.3429437661337582,0.13207112656615505
ENSG00000214837.8,0.8252640086767595,0.3504244142551388,0.32578057881293515,0.3387315442527453
ENSG00000252984.1,0.14539145975132134,0.21146269820145253,0.0,0.0
ENSG00000183597.16,0.07267805353881204,0.4863686177978252,0.54937610066187,0.42965976864005656
ENSG00000269855.3,0.08821475679106056,0.2525006719510222,0.20079865734230923,0.06623768089792566
ENSG00000248347.3,0.0,0.0,0.36565430141330196,0.0
ENSG00000231053.1,0.0,0.0,0.0,0.0
ENSG00000213901.11,0.08615256585429583,0.550503535636714,0.4132545889788297,0.4042566112868193
ENSG00000188312.14,0.4792067066462251,0.3133701044393282,0.3507544241440945,0.28454778159686356
ENSG00000207157.1,0.0,0.0,0.0,0.0
ENSG00000267658.1,0.0,0.32783522569925233,0.2225844641373581,0.3004963998892274
ENSG00000175470.20,0.4175548632649255,0.3662400099468809,0.3425698871996077,0.5541880513093272
ENSG00000276046.1,0.0,0.0,0.0,0.0
ENSG00000259002.2,0.4131915358560659,0.1776620412523825,0.1557131757536026,0.12715033203433249
ENSG00000234832.1,0.35796739401513733,0.043138340053857596,0.40556250648000514,0.3851532924030521
ENSG00000183479.13,0.05567012443536287,0.19760688652995642,0.08407940313447379,0.05399605276108781
ENSG00000104957.14,0.6568412013033916,0.4377405736849709,0.4665211319603846,0.5326678598372365
ENSG00000099260.12,0.48166146918000996,0.24009520283040064,0.19118849432699858,0.4807363022861093
ENSG00000243018.1,0.3079940574141933,0.2634877505251298,0.3693712481207283,0.31677136683027735
ENSG00000260495.1,0.29012171705666023,0.19815211377615777,0.19142155107885572,0.17563315650730627
ENSG00000227484.1,0.4388382461238381,0.16085972175228389,0.556983311108015,0.3766654061262265
ENSG00000285448.1,0.0,0.0,0.0,0.0
ENSG00000288996.1,0.2883615573647169,0.4226206198221778,0.17958102179670576,0.21391346036734626
ENSG00000252373.1,0.0,0.0,0.0,0.0
ENSG00000118004.18,0.17849204450577394,0.21395539056847138,0.20171768332966308,0.3184790827796441
ENSG00000206948.1,0.0,0.0,0.0,0.0
ENSG00000226029.1,0.3358149651568214,0.2677297846888101,0.20587497930146503,0.3994730191695515
ENSG00000266718.2,0.35476192056957273,0.3214733516777009,0.27234339135006136,0.3359167948740389
ENSG00000087053.20,0.33723044718402695,0.3354421105615967,0.3718876087599172,0.5875414466167576
ENSG00000218890.1,0.0,0.23390178740947679,0.0,0.0
ENSG00000222305.1,0.21429313189666116,0.0,0.3350508078877227,0.44048150185193025
ENSG00000234933.1,0.3937058328146168,0.0,0.25,0.10155523415473618
ENSG00000166913.13,0.10619238430536898,0.3204700745819243,0.40954191179876775,0.341012530689767
ENSG00000228606.3,0.6313116535696373,0.5266644907455168,0.5147406058902838,0.3496508891632012
ENSG00000280660.1,0.0,0.13888331661651623,0.0,0.1346632490062781
ENSG00000230725.6,0.09370056872381274,0.37441950324208795,0.2984018981610056,0.12087795983916344
ENSG00000287655.1,0.3398600420641602,0.4277413684836885,0.40810564575615405,0.20917562198195136
ENSG00000143318.13,0.41896052147676094,0.1534364249561099,0.44336400933763986,0.2533456993920914
ENSG00000233716.1,0.0,0.20448010103299766,0.18664157803920117,0.38877985538958304
