,30-39,40-49,50-59,60-69,70-79
ENSG00000285159.1,0.23524137110258295,0.16002036870477282,0.11408396984922219,0.1148732334883249,0.1034955740989677
ENSG00000274601.1,0.0,0.0,0.0,0.0,0.0
ENSG00000214558.4,0.11882591093117409,0.2182645754994654,0.1800895953842391,0.25234773670772054,0.1701710135873809
ENSG00000228013.1,0.20651436308338975,0.19882241465060327,0.23771788904612848,0.3231043390691361,0.3432518061211086
ENSG00000139343.11,0.15224732354350176,0.13645767168263864,0.18860715328750546,0.15001788709537595,0.13755631524358733
ENSG00000218410.1,0.0,0.0,0.0,0.02784417470402621,0.0
ENSG00000262920.5,0.1699172573899714,0.16932908891729523,0.15703157422089303,0.23952324653736548,0.2455355524247619
ENSG00000214837.8,0.39599210838809407,0.3182234172417456,0.2934002158817152,0.3282670485000991,0.3588738389244928
ENSG00000252984.1,0.018766619429008168,0.052999179704682854,0.04365181167353347,0.06045616640748717,0.0
ENSG00000183597.16,0.4648529029460635,0.35704888904044924,0.37378403963102447,0.42657901829433786,0.5646083895776312
ENSG00000269855.3,0.20004922975688183,0.262994275080945,0.14276088753444274,0.08780999949163083,0.06665703419508821
ENSG00000248347.3,0.07692307692307693,0.019518706357550448,0.003926652336997757,0.01724168896711507,0.0
ENSG00000231053.1,0.0,0.0484658324417788,0.018892334102291262,0.016326732672442165,0.0
ENSG00000213901.11,0.2559831406103505,0.2980245620522331,0.33498276603870275,0.3555470576769042,0.741468955504313
ENSG00000188312.14,0.3218585070479288,0.32417965144436867,0.2690936025381674,0.3084376063448365,0.28908243909868203
ENSG00000207157.1,0.0,0.0,0.0,0.0,0.0
ENSG00000267658.1,0.10802127188123199,0.15399669133712815,0.11590466843847515,0.10499153439888406,0.12882860143161304
ENSG00000175470.20,0.31667757336227964,0.29498777137888144,0.34602664684697804,0.4067615488593106,0.5169631738421865
ENSG00000276046.1,0.0,0.0,0.0,0.0,0.0
ENSG00000259002.2,0.0719292169668184,0.12060048105466667,0.1735793980038012,0.19681108927538635,0.22238769048090243
ENSG00000234832.1,0.07247072145006295,0.1062635759326495,0.07924000174639688,0.180868574081266,0.06358939474197775
ENSG00000183479.13,0.09977172333170256,0.20466812720346111,0.0983782190861782,0.11399274047093616,0.111019442134679
ENSG00000104957.14,0.28842454661091294,0.2584320480642792,0.28677641819960065,0.38888759396671296,0.38405041686791164
ENSG00000099260.12,0.39791449760397,0.3396363446486645,0.296328639968684,0.36737440680418526,0.389223793611683
ENSG00000243018.1,0.21713991999964163,0.13558222731867406,0.1620253491384567,0.25504249504698423,0.2207397659116054
ENSG00000260495.1,0.2026998583024844,0.19270965565206774,0.24251446468643975,0.30835326857944334,0.5615819575105878
ENSG00000227484.1,0.17449520256658957,0.16957154865826057,0.17703559467818386,0.23301993548823674,0.2141399030067895
ENSG00000285448.1,0.023994600426901793,0.06151157829146546,0.055175456094859604,0.03531671470970752,0.09039804398328447
ENSG00000288996.1,0.16579996529059585,0.18027992955541547,0.19383352991230818,0.18382384626493953,0.213022026158486
ENSG00000252373.1,0.0,0.0,0.0,0.0,0.0
ENSG00000118004.18,0.13368455949477054,0.09092155309146711,0.09971189261306249,0.19644160348711084,0.10453805908249858
ENSG00000206948.1,0.0,0.0,0.0,0.0,0.0
ENSG00000226029.1,0.1971994019112548,0.22056786084449123,0.2640381489959629,0.3652862764125984,0.420833504126898
ENSG00000266718.2,0.25048349569774503,0.24599245440965256,0.20495200741855948,0.3130822745144609,0.26685431599222614
ENSG00000087053.20,0.3486551365172093,0.3022757613856962,0.3472908206954142,0.4575476012174723,0.5441489273646021
ENSG00000218890.1,0.08674915254726331,0.09628749418320497,0.17128445768001638,0.20095440154213937,0.03164560918735426
ENSG00000222305.1,0.03516118789727134,0.04972460167524995,0.054981950445635766,0.06937556686084127,0.28995186459977745
ENSG00000234933.1,0.0,0.07865571280709661,0.1140367985485459,0.09440874073629875,0.0
ENSG00000166913.13,0.5703796381112676,0.48296767406458574,0.42923310708710677,0.393921101697311,0.38891190929529595
ENSG00000228606.3,0.30287170191009555,0.25372634242416875,0.21898989604842276,0.28867513375896375,0.31968900802542416
ENSG00000280660.1,0.09865894648075867,0.016949408916701277,0.045609838633803405,0.04230294122186436,0.028393868137090234
ENSG00000230725.6,0.12635240354624055,0.19981971239437848,0.1697714956177032,0.18208926125960695,0.1026610608352347
ENSG00000287655.1,0.27572909530301953,0.27368866763010163,0.2299192388052547,0.24499741514820222,0.43035704483334697
ENSG00000143318.13,0.12714761757811316,0.03877534652706641,0.043899465023511434,0.053532448165057596,0.04449962922921093
ENSG00000233716.1,0.11373198639605138,0.1463342921859151,0.14333933666138818,0.18682965906268628,0.23195985201517724
ENSG00000289287.1,0.052080240686464455,0.0,0.0774528034008974,0.11299223893125047,0.0
ENSG00000011566.15,0.4271286762651011,0.3707624284062145,0.4215745970200918,0.5015893845294783,0.48056103577282033
ENSG00000199878.1,0.0,0.0,0.018867924528301886,0.0,0.0
ENSG00000238962.1,0.0,0.0,0.0,0.0,0.0
ENSG00000244356.3,0.049546005898601364,0.06580907070180687,0.04091006877434328,0.07524304337570742,0.09697195603292705
ENSG00000187955.13,0.13190763000593647,0.17790129303956678,0.22044905836253273,0.2270670312800295,0.23863094275509647
ENSG00000270560.1,0.0,0.0,0.0,0.023255813953488372,0.0
ENSG00000141449.16,0.13267593317585444,0.13389289281945455,0.11605978908183122,0.0874272738406765,0.09405112827491537
ENSG00000185803.12,0.4430276522628358,0.4238646571960301,0.39037144405214114,0.3747146796172211,0.422233903228754
ENSG00000242943.1,0.0,0.0,0.03606964675508981,0.0,0.0
ENSG00000226245.1,0.3387434716501087,0.30508041926099533,0.3325296292087514,0.40662809119013826,0.7186232528292302
ENSG00000236049.1,0.0,0.0076830721632273205,0.011280763133510464,0.05270437232498538,0.1682066911408187
ENSG00000204758.8,0.21347729375010605,0.24147092800170336,0.26021237973323746,0.3525235364853345,0.40284746288639556
ENSG00000172216.6,0.1752772352950716,0.18429496176360954,0.22283950346225226,0.2598438901421794,0.3235314003507129
ENSG00000267145.1,0.1106713318205313,0.07474922164433945,0.06467903847530342,0.05407032706989875,0.0
ENSG00000253644.2,0.16132417774600355,0.12114670336076422,0.1051788035889879,0.025173579034092956,0.026177984310198372
ENSG00000072501.19,0.5176623233193294,0.44678737410120245,0.40408267906824274,0.43021735810184203,0.35290264772614144
ENSG00000278438.1,0.07692307692307693,0.0,0.0,0.0,0.0
ENSG00000196758.3,0.01040272447159306,0.02928302430762023,0.01646667285432053,0.047926914968376665,0.0
ENSG00000205076.5,0.10618239155825747,0.20281433474838736,0.07293653971102161,0.05724983479382598,0.016594020598816386
ENSG00000232393.1,0.08092399282699304,0.05809817395372447,0.10980454763050986,0.08454212620937107,0.0720314103635105
ENSG00000279106.1,0.11840910672951753,0.1445771014955948,0.1454857754705466,0.17414476295497333,0.22821320233417414
ENSG00000276988.1,0.3133931591266968,0.2382988399321806,0.23206772875649406,0.29995420612868173,0.3201162855414847
ENSG00000167977.9,0.33281686275988803,0.25436878010378833,0.2533600944464842,0.2190732745486664,0.1762423709614702
ENSG00000273989.1,0.08315908643579435,0.06959921191052995,0.09985703224850966,0.1106316638606736,0.033000480963466014
ENSG00000243838.1,0.08601514018205542,0.06778108005811878,0.09517604597626973,0.10262658577607474,0.1376555509157072
ENSG00000236648.2,0.022091789725328086,0.05846884312407136,0.04667627674584802,0.05011074555624986,0.036501133052767885
ENSG00000211623.2,0.0,0.0370548244985069,0.025111295476629287,0.04978382547570297,0.024025573722762185
ENSG00000077327.16,0.08592888920873436,0.01350416261862252,0.013971808827357947,0.018039115233414893,0.00996761763482099
ENSG00000230119.1,0.0,0.016868781957719677,0.0,0.023255813953488372,0.0
ENSG00000205184.2,0.06484574385247856,0.11196138007896882,0.1235651045909637,0.1207800013259936,0.0
ENSG00000226533.1,0.061436562476259185,0.10010064092991357,0.15363582725187136,0.10173726577639916,0.03355465843108072
ENSG00000278588.2,0.11525431732361616,0.16726182662669803,0.17479489155004832,0.20800501197514104,0.1343130243968363
ENSG00000230704.1,0.0,0.009431758856802199,0.018867924528301886,0.0,0.0
ENSG00000254562.7,0.037518856815505555,0.031318757094512165,0.01019664171239881,0.023255813953488372,0.10256681836988002
ENSG00000203620.2,0.12304335766658091,0.14079617689306234,0.156168162743737,0.10754689809053435,0.04333716555183946
ENSG00000185839.3,0.10519457988505045,0.1629454523702992,0.184037453473248,0.2503613283335792,0.24102792837130357
ENSG00000276405.1,0.10111820388405322,0.10664541900456094,0.10182176694549869,0.0988814654867798,0.015954646447537534
ENSG00000238249.2,0.1655752971846579,0.26526527792155524,0.21464103106327576,0.26644395065255944,0.21219810361299732
ENSG00000235066.7,0.02518421362681305,0.07104847442030297,0.032978218089235414,0.05523625198761705,0.06283761946534927
ENSG00000096968.14,0.33824663807396954,0.30603595111522236,0.3450208910050417,0.4178204117380651,0.36548107262214996
ENSG00000285177.1,0.03079041438015318,0.05877743516977288,0.06650620188654585,0.03858549890735319,0.0
ENSG00000261260.2,0.261780376857201,0.3360040013210116,0.2621978162876025,0.28257854026103424,0.24872332135354364
ENSG00000286855.1,0.1707769105962596,0.15256521713394852,0.1708885814413929,0.23310523795430654,0.3160586845582204
ENSG00000074657.14,0.38491235743895474,0.3625804799647388,0.37942545526403454,0.50555090012997,0.5268901439847407
ENSG00000225499.1,0.09980755280135872,0.05970184277135412,0.060962197117711406,0.024988807049979606,0.04802068413905991
ENSG00000164086.10,0.17889593765942205,0.18847745420751305,0.19152389585341453,0.16608893045430698,0.09870268137213452
ENSG00000165457.15,0.24335359786707803,0.15971614127606107,0.1707008460165263,0.22404363965733856,0.15635710822321508
ENSG00000259237.2,0.0,0.018718739966737116,0.030182968817706355,0.020189264870071885,0.0
ENSG00000175018.13,0.02730814965903816,0.028778826313916275,0.0617418300605628,0.01822209828264719,0.011552404343042574
ENSG00000198818.10,0.3922008815383053,0.3337085551534278,0.41221170782836897,0.5120726936997393,0.617993832274202
ENSG00000232614.1,0.0,0.0,0.0,0.0,0.0
