,30-39,40-49,50-59,60-69
ENSG00000285159.1,0.11425547243989433,0.18823525487649762,0.026491412205253185,0.02127247013617725
ENSG00000274601.1,0.0,0.0,0.0,0.0
ENSG00000214558.4,0.05469249500074818,0.2324197228986138,0.16938876494674265,0.2560172400502419
ENSG00000228013.1,0.43365948296648194,0.46086637180068973,0.5240995438521433,0.5162083549207048
ENSG00000139343.11,0.22037045007819334,0.16588778174722735,0.5568763540366433,0.40645274681128846
ENSG00000218410.1,0.0,0.125,0.0,0.0
ENSG00000262920.5,1.0,0.19914821652453055,0.21451381521843957,0.19362947705844802
ENSG00000214837.8,0.4358851392436705,0.24905990686662072,0.3270356777236809,0.32244741002045135
ENSG00000252984.1,0.5855911022660335,0.27042288031522793,0.0,0.0
ENSG00000183597.16,0.0,0.630741168336902,0.5537937723602337,0.31694578503299076
ENSG00000269855.3,0.4951044418474472,0.2778886002730121,0.18759022656073537,0.131478717170626
ENSG00000248347.3,0.0,0.125,0.11844660194174757,0.07423694396852591
ENSG00000231053.1,0.0,0.125,0.0,0.0
ENSG00000213901.11,0.04055533031536363,0.35952161223196105,0.22741484240777532,0.21615972690435603
ENSG00000188312.14,0.07790399966082615,0.25924425465363043,0.28189824312642936,0.5068321552537013
ENSG00000207157.1,0.0,0.0,0.0,0.0
ENSG00000267658.1,0.24755220993753105,0.5216364123474215,0.4104459081523302,0.0815394199186248
ENSG00000175470.20,0.20320705832924868,0.38225906215717853,0.47527406266290095,0.46424542321188217
ENSG00000276046.1,0.0,0.0,0.0,0.0
ENSG00000259002.2,0.0,0.35984999643696997,0.25,0.0
ENSG00000234832.1,0.5795893153649677,0.22447842963728842,0.5855749979189758,0.30114901739152017
ENSG00000183479.13,0.1478375967730221,0.1794003724440375,0.16450760923406604,0.49333411673884603
ENSG00000104957.14,0.2028623260727098,0.286220904660377,0.32412963489621327,0.43036343156460516
ENSG00000099260.12,0.2244625924843235,0.18485850979294216,0.34919316820309704,0.11017145711787901
ENSG00000243018.1,0.195001518099115,0.4200924166263715,0.12323160195066368,0.3803061312462282
ENSG00000260495.1,0.36922109839994166,0.3057537360511601,0.182496834465511,0.2959608515392843
ENSG00000227484.1,0.38194569322064376,0.3349034571120302,0.2770425732781874,0.3727916142180663
ENSG00000285448.1,0.0,0.10366729624542126,0.25,0.0
ENSG00000288996.1,0.6365662536135673,0.4660414303930438,0.4466073398288911,0.32764503963819913
ENSG00000252373.1,0.0,0.0,0.25,0.0
ENSG00000118004.18,0.33180794352876847,0.3294281059482773,0.06958161515105338,0.36164335298927813
ENSG00000206948.1,0.0,0.0,0.0,0.0
ENSG00000226029.1,0.4866142606643397,0.19871893676474978,0.13204340317485574,0.3405532462883225
ENSG00000266718.2,0.2796676554085012,0.3275864372209571,0.18321047012798314,0.48376003853402444
ENSG00000087053.20,0.23592283717770582,0.4732853938874646,0.4924459529116983,0.5582040970987133
ENSG00000218890.1,0.7807893064815783,0.351331462074845,0.04987051320202353,0.09878663095726399
ENSG00000222305.1,0.0,0.1686087826316999,0.12649629342123306,0.0
ENSG00000234933.1,0.0,0.05847564528731674,0.4716358314902859,0.13891611154520211
ENSG00000166913.13,0.1237491727996471,0.4605742942894767,0.5639417517262585,0.28810524885083205
ENSG00000228606.3,0.3918920793388492,0.4671790718771356,0.20049979794467665,0.13600565754905505
ENSG00000280660.1,0.0,0.24509129507808372,0.03985731727317455,0.03960371983405312
ENSG00000230725.6,0.026026765695952307,0.3239635503177821,0.13542265337013248,0.09618900053542619
ENSG00000287655.1,0.4332191533127154,0.3084129893274469,0.0713421408175251,0.060064814520149785
ENSG00000143318.13,0.7475347361830009,0.28243925637631245,0.4989509617111355,0.5036842682397739
ENSG00000233716.1,0.09271840710433327,0.48915120245954996,0.21438025967082017,0.1503670145992189
ENSG00000289287.1,0.0,0.0,0.0,0.0
ENSG00000011566.15,0.4889467882553362,0.5590352239703377,0.33966830343721816,0.2535919876184432
ENSG00000199878.1,0.0,0.0,0.0,0.0
ENSG00000238962.1,0.0,0.0,0.0,0.0
ENSG00000244356.3,0.0,0.03244346106205299,0.10009489751068847,0.16666666666666666
ENSG00000187955.13,0.0943063803914584,0.3185982572761274,0.11252481544829787,0.1662942750076257
ENSG00000270560.1,0.0,0.0,0.0,0.0
ENSG00000141449.16,0.025604259116837825,0.13784698374247892,0.2685993721956496,0.09498399129751718
ENSG00000185803.12,0.0,0.5162366044253175,0.5051865824827645,0.5255247337400965
ENSG00000242943.1,0.0,0.0,0.0,0.16666666666666666
ENSG00000226245.1,0.15004868679054006,0.26748276192254705,0.4202893148215548,0.440087220177991
ENSG00000236049.1,0.0,0.2057019392917369,0.0,0.0
ENSG00000204758.8,0.689932760345341,0.3141825369717748,0.3231741518166104,0.3539437933687888
ENSG00000172216.6,0.013010033596706078,0.13176021482048977,0.20304155518128847,0.2972421146256589
ENSG00000267145.1,0.990212521792863,0.2974334076313641,0.0,0.13715747504395354
ENSG00000253644.2,0.0,0.0,0.0,0.0
ENSG00000072501.19,0.4159441309531704,0.47945999406016526,0.6004999841412181,0.32402470894329566
ENSG00000278438.1,0.0,0.0,0.0,0.0
ENSG00000196758.3,0.05759566377644464,0.26823815686751784,0.04163092230833851,0.028853241827776013
ENSG00000205076.5,0.0,0.1565515061555273,0.13091087258934933,0.037637727048392654
ENSG00000232393.1,0.4923859410320605,0.2751809326462653,0.23104688753311786,0.2348680958978472
ENSG00000279106.1,0.3839191958344854,0.19297113277702915,0.18179767715591524,0.3819717971787154
ENSG00000276988.1,0.42973379029046543,0.2831805030953214,0.18641784425645913,0.3976448204150425
ENSG00000167977.9,0.2496744885853998,0.540549680275455,0.5005533694048205,0.2625563014187476
ENSG00000273989.1,0.11142859278583629,0.2910155593013825,0.3455469301868387,0.17827883404283948
ENSG00000243838.1,0.0,0.3307672111715346,0.0612126064487954,0.24816216609651362
ENSG00000236648.2,0.0,0.125,0.0,0.0
ENSG00000211623.2,0.0,0.125,0.0,0.0
ENSG00000077327.16,0.20202112012691908,0.2486954541323065,0.012992327841218952,0.05057956404620648
ENSG00000230119.1,0.0,0.0,0.0,0.0
ENSG00000205184.2,0.0,0.03611191508371452,0.25,0.027693535431072638
ENSG00000226533.1,0.0,0.06608918351256873,0.06539736653290061,0.36555433655094927
ENSG00000278588.2,0.13642703174709794,0.06722496839945531,0.14128908849984428,0.284466780245436
ENSG00000230704.1,0.0,0.0,0.0,0.0
ENSG00000254562.7,0.0,0.125,0.0,0.0
ENSG00000203620.2,0.0,0.1738856593182367,0.028566431528012592,0.19528584476407015
ENSG00000185839.3,0.8422790384619833,0.33925717418104356,0.45623703304506313,0.5675686771566489
ENSG00000276405.1,0.0,0.246052783399705,0.10817073056640962,0.05065607630713706
ENSG00000238249.2,0.16412779083830464,0.507789887075514,0.3378612972047453,0.49764004584018445
ENSG00000235066.7,0.267391270689148,0.3192912273367705,0.10247418211095112,0.38714189129907467
ENSG00000096968.14,0.28575065230098157,0.5083785796632071,0.17955909150289914,0.2777168222414211
ENSG00000285177.1,0.7426611171436528,0.3296582071950675,0.2135583606355163,0.04247584231829019
ENSG00000261260.2,0.2195969102604661,0.43839840042708,0.16092118791521667,0.13420397026257513
ENSG00000286855.1,0.12999927493225988,0.36793528904691186,0.09162775022221983,0.22829429156853634
ENSG00000074657.14,0.5982942626239468,0.5254227087751475,0.4260984696509429,0.30669570699833776
ENSG00000225499.1,0.0,0.0,0.25,0.0
ENSG00000164086.10,0.38406987884594396,0.432542491844234,0.294677074111355,0.23631054165605506
ENSG00000165457.15,0.06890238542409893,0.39954877560664126,0.18048540674115793,0.30254497593187296
ENSG00000259237.2,0.0,0.125,0.0,0.0
ENSG00000175018.13,0.06544962714554632,0.2750753693460893,0.31163155882680293,0.2290173192224497
ENSG00000198818.10,0.39775370097052637,0.4743042510845745,0.4173710809964668,0.3783692621912132
ENSG00000232614.1,0.0,0.0,0.0,0.0
ENSG00000257075.1,0.0,0.10686133079162265,0.0,0.16666666666666666
ENSG00000231238.2,0.0,0.0,0.0,0.0
ENSG00000227434.2,0.0,0.0,0.0,0.0
ENSG00000242612.7,0.43914336924185593,0.6028127829412959,0.344808046465505,0.43352817145754924
ENSG00000276486.1,0.0,0.0,0.0,0.16666666666666666
ENSG00000271355.1,0.0,0.12539636601570364,0.0,0.16666666666666666
ENSG00000270381.1,0.0,0.125,0.0,0.0
ENSG00000236627.1,0.0,0.21124039508517345,0.4175744784060357,0.05310462154012347
ENSG00000255977.1,0.2365295005578526,0.125,0.0,0.07790794338343067
ENSG00000270236.1,0.0,0.27883472813585863,0.065418440757598,0.19422845397151667
ENSG00000227825.4,0.3593429106430959,0.383335577490973,0.4924711657203452,0.26950179980044475
ENSG00000185264.12,0.46359686706053915,0.40856747696146967,0.0,0.14847888072079657
ENSG00000265801.1,0.0,0.2484364003918917,0.0,0.07977779004355884
ENSG00000234122.1,0.0,0.0,0.0,0.0
ENSG00000287959.1,0.0,0.2734443462068102,0.0,0.2674493511099983
ENSG00000245059.2,0.13513638976383865,0.2495687259957702,0.17883688797320674,0.2248463888581689
