,30-39,40-49,50-59,60-69,70-79
ENSG00000285159.1,0.14745404574738458,0.18243525031030203,0.09388071055827672,0.06842915900327859,0.0659670284204831
ENSG00000274601.1,0.0,0.0,0.0,0.008403361344537815,0.0
ENSG00000214558.4,0.11082765658181416,0.10076560302269781,0.10283609230722696,0.0847561810791224,0.039532360135520736
ENSG00000228013.1,0.023686273295437717,0.01360079543098411,0.016769295828942817,0.028093547486285717,0.05288588769720845
ENSG00000139343.11,0.4455373785075558,0.32489966303600354,0.34703374413653454,0.3146888206635404,0.33050755871535437
ENSG00000218410.1,0.0,0.0,0.0,0.0,0.0
ENSG00000262920.5,0.0,0.045642055978906845,0.07280369040619342,0.10080568147761576,0.058310162333910225
ENSG00000214837.8,0.12523113205696054,0.18997913434400981,0.16463028390075765,0.16871313051694503,0.18556753693109024
ENSG00000252984.1,0.0,0.0,0.02375997485885897,0.015261181250998661,0.08763688587201415
ENSG00000183597.16,0.418334426523141,0.3327991751650557,0.4313530825077236,0.3471944378211015,0.32796356059008025
ENSG00000269855.3,0.05256894905667658,0.1030428077268252,0.08500665713091571,0.08796939647348627,0.10742782994871974
ENSG00000248347.3,0.11730124378701039,0.035780034404306084,0.0532659925427503,0.04954331990828627,0.058378046125673884
ENSG00000231053.1,0.0,0.0,0.0030327221580238395,0.012320945281868476,0.07692307692307693
ENSG00000213901.11,0.17814151088633468,0.17087411165429914,0.22297854212951956,0.23378478269218306,0.11736750482320067
ENSG00000188312.14,0.33340400003833903,0.26305119087328377,0.29574537850277693,0.27572131229468694,0.25336113793468407
ENSG00000207157.1,0.0,0.0,0.0,0.0,0.0
ENSG00000267658.1,0.20646179366858736,0.13427623257683116,0.199928717585179,0.16475068167667667,0.15795295357997616
ENSG00000175470.20,0.41257012408801874,0.3750395900920236,0.4235052532262403,0.3590012400390795,0.32792905528008975
ENSG00000276046.1,0.0,0.0,0.0,0.0,0.0
ENSG00000259002.2,0.07054618423527936,0.09441713174891829,0.056632150449978456,0.0980176983316058,0.09011099266319683
ENSG00000234832.1,0.1492703456040218,0.1390849965328329,0.1600343292476136,0.16429356715885643,0.17590785298807105
ENSG00000183479.13,0.24988905894482233,0.26592375134634494,0.3142175622969362,0.33592055584168656,0.3235886042080009
ENSG00000104957.14,0.3422655997048184,0.31660682778763977,0.4039204153107367,0.377091785591481,0.40645509153047044
ENSG00000099260.12,0.13243910887011126,0.11290352643787513,0.08847820134243155,0.11275173019451866,0.10304287034810465
ENSG00000243018.1,0.08953048349815725,0.15496599762480312,0.16593355806503235,0.18404767720424645,0.23854317370619474
ENSG00000260495.1,0.3194567840408264,0.33951784591097556,0.40472323503633517,0.3760902473741865,0.33613305358743395
ENSG00000227484.1,0.07439027509521887,0.10568830909265035,0.13147022273096098,0.13252227785989082,0.13612238648880734
ENSG00000285448.1,0.14285714285714285,0.0,0.02610859128960771,0.020720373056334018,0.06823218426164882
ENSG00000288996.1,0.20809476622960554,0.1591853314359368,0.17893645892641996,0.1692659889039993,0.25226051338598743
ENSG00000252373.1,0.0,0.0,0.010454413658755395,0.018852601553049818,0.05124235327744193
ENSG00000118004.18,0.3825244482184465,0.1722148344325818,0.21515040407745348,0.20755498902735575,0.18454986991727979
ENSG00000206948.1,0.0,0.0,0.0,0.0,0.0
ENSG00000226029.1,0.20840471666968002,0.2992773947361467,0.3297187870932126,0.31118113045147,0.27810460518840957
ENSG00000266718.2,0.18770237705237064,0.18539138376621875,0.2086334428787659,0.1729047668267001,0.19313679147827073
ENSG00000087053.20,0.3466351697977756,0.3100366858797779,0.3241237506401414,0.2865817256697031,0.24807193214660755
ENSG00000218890.1,0.13301819823146838,0.1181883670831538,0.1431968052331911,0.10882081397832721,0.18405594405594405
ENSG00000222305.1,0.0,0.029924507117351062,0.0255055054525302,0.002985227538592103,0.0
ENSG00000234933.1,0.04033141594629087,0.038081696682282874,0.03635477025387217,0.019592466550423487,0.024526884215141834
ENSG00000166913.13,0.35886138342859325,0.30739498075546956,0.314548122577531,0.27069466410696796,0.2554277103812981
ENSG00000228606.3,0.33154454015606355,0.26093338477534445,0.27833566038822405,0.23542327035899924,0.2469435346798464
ENSG00000280660.1,0.17271991902801093,0.18347526465618746,0.19104045657893692,0.1672905086444462,0.18593331609416255
ENSG00000230725.6,0.1796468078066257,0.18854870013178385,0.16179588861364136,0.14415217446748674,0.1239895033683221
ENSG00000287655.1,0.09601412190970995,0.13307867208558538,0.15120054864975305,0.12233105459890412,0.13178345167074373
ENSG00000143318.13,0.3625937441154076,0.26980541955608683,0.35144055152017595,0.3009900834233531,0.2649573939765706
ENSG00000233716.1,0.10977809398313536,0.21062052517924335,0.13905503228489385,0.12982289950385859,0.13020237356999403
ENSG00000289287.1,0.04845138663924844,0.0,0.061927950825295584,0.04151425496465153,0.04097999213423374
ENSG00000011566.15,0.29250336225102697,0.3073875922430066,0.27113493794579335,0.26273119081166013,0.25721701929441754
ENSG00000199878.1,0.0,0.0,0.011986495190317616,0.014408792427307297,0.0
ENSG00000238962.1,0.0,0.0,0.0,0.0,0.0
ENSG00000244356.3,0.0,0.0,0.011745854869800778,0.02119548371625759,0.07692307692307693
ENSG00000187955.13,0.2114487743620983,0.0892945394751867,0.08342258854894437,0.10155016627885768,0.06584635361441263
ENSG00000270560.1,0.14285714285714285,0.009315769810850826,0.011053936326577252,0.016018140870107365,0.0
ENSG00000141449.16,0.2520983129933104,0.19939494963011103,0.17513075246618318,0.1716722833112753,0.18562038067705874
ENSG00000185803.12,0.2618404079283744,0.24652595248369497,0.2894831479237172,0.26797140565391403,0.27847150117923913
ENSG00000242943.1,0.16958658413920671,0.011598850241291106,0.030266232600712345,0.025162772052203172,0.0613781079288318
ENSG00000226245.1,0.320581858088528,0.30203597697686435,0.3109722487470367,0.3094328044512976,0.2686960595948548
ENSG00000236049.1,0.14285714285714285,0.014563583464662385,0.0,0.004744781898697168,0.0
ENSG00000204758.8,0.4886006455130247,0.41600149981373025,0.4669513692976989,0.41320311147114563,0.416151827792764
ENSG00000172216.6,0.17034583654511715,0.16644823843285012,0.2855532154987461,0.25358179900683797,0.27845992876679915
ENSG00000267145.1,0.07780168702669288,0.04884827041979934,0.019628068714933618,0.04227226622587951,0.016300151889006957
ENSG00000253644.2,0.0,0.04,0.0,0.005840814126919267,0.0
ENSG00000072501.19,0.3772597732163446,0.34921527040573574,0.3779428668683653,0.3520705589423074,0.33100175759514505
ENSG00000278438.1,0.0,0.04,0.0,0.0,0.0
ENSG00000196758.3,0.017364668299523076,0.05743816736846643,0.036715957225369744,0.042466061629802605,0.05662855317224918
ENSG00000205076.5,0.05590221470498313,0.08667350846672757,0.0661578784390845,0.06264365597805435,0.08482930318576933
ENSG00000232393.1,0.09270564120844844,0.05549788112805731,0.1026608548904064,0.06392105102845233,0.11205903718326546
ENSG00000279106.1,0.2009437928633653,0.18299813999482023,0.16874788765234536,0.16527842601735912,0.1191873932579793
ENSG00000276988.1,0.0,0.13293078218701707,0.10450855097668162,0.09854773852435371,0.18809873316552947
