,30-39,50-59,60-69
ENSG00000285159.1,0.10441220696272321,0.588555614429535,0.260844348336651
ENSG00000274601.1,0.0,0.0,0.0
ENSG00000214558.4,0.2875488868832732,0.49543330700962696,0.25112815884476536
ENSG00000228013.1,0.3951194564184993,0.2652806562039465,0.5
ENSG00000139343.11,0.231547141515253,0.5614480489899255,0.34167167235770063
ENSG00000218410.1,0.0,0.0,0.0
ENSG00000262920.5,0.8771653241763152,0.3456708409393603,0.5
ENSG00000214837.8,0.8223941357288602,0.6581024591249967,0.2509589395023451
ENSG00000252984.1,0.7819679398092683,0.655461374418939,0.08967668248111053
ENSG00000183597.16,0.7923661034099619,0.2309907677075848,0.20993270141870032
ENSG00000269855.3,0.4025712294373021,0.5559569894278973,0.0
ENSG00000248347.3,0.0,0.1916870454984233,0.5
ENSG00000231053.1,0.0,0.0,0.0
ENSG00000213901.11,0.6936328917010417,0.09197152695238761,0.0010137733342655431
ENSG00000188312.14,0.8746169590231061,0.4778531506442009,0.251607138051108
ENSG00000207157.1,0.0,0.0,0.0
ENSG00000267658.1,0.3034159598894148,0.1564886837542758,0.7818284054168033
ENSG00000175470.20,0.8181871022116307,0.3128480194135256,0.2229663750762882
ENSG00000276046.1,0.0,0.0,0.0
ENSG00000259002.2,0.0,0.46348037945155773,0.0
ENSG00000234832.1,0.7461426750461357,0.10026349667379049,0.0476751412608522
ENSG00000183479.13,0.6530934479717269,0.43544377489811176,0.009509339725890334
ENSG00000104957.14,0.9265111287727824,0.667745084488061,0.19460090381684073
ENSG00000099260.12,0.5460268073187304,0.44297419966661944,0.0010347263297339313
ENSG00000243018.1,0.5,0.17411194731890875,0.0
ENSG00000260495.1,0.7567286685669131,0.49125392162545095,0.0875193176099131
ENSG00000227484.1,0.6722997633214626,0.4114999225817868,0.0
ENSG00000285448.1,0.5,0.0,0.0
ENSG00000288996.1,0.6660401116434682,0.412055956591177,0.01283187718006297
ENSG00000252373.1,0.0,0.0,0.0
ENSG00000118004.18,0.06349417412671082,0.10012677479040227,0.6121658468110247
ENSG00000206948.1,0.0,0.0,0.0
ENSG00000226029.1,0.9335899590984222,0.5088778137375534,0.10027164319762005
ENSG00000266718.2,0.9701429032825788,0.31901528440441496,0.15991668326683595
ENSG00000087053.20,0.5595233778563046,0.5374517081789533,0.06408472989543909
ENSG00000218890.1,0.5,0.35092353605420235,0.0
ENSG00000222305.1,0.0,0.25,0.0
ENSG00000234933.1,0.0,0.0,0.0
ENSG00000166913.13,0.35419073169293597,0.8293449041999779,0.48101152173155626
ENSG00000228606.3,0.5920645626040534,0.21871562255181162,0.18766068511919576
ENSG00000280660.1,0.3226276121959575,0.0,0.5
ENSG00000230725.6,0.6289772495200752,0.1971980557938161,0.0
ENSG00000287655.1,0.23930973504622113,0.6392978273187904,0.31432294304273917
ENSG00000143318.13,0.18095994055259068,0.5574760053835242,0.04216660863962085
ENSG00000233716.1,0.29983237956952513,0.25,0.21736739836009566
ENSG00000289287.1,0.0,0.25,0.0
ENSG00000011566.15,0.9084301941063436,0.7744572950812444,0.13044719093737497
ENSG00000199878.1,0.0,0.0,0.0
ENSG00000238962.1,0.0,0.0,0.0
ENSG00000244356.3,0.0,0.34413399231191655,0.0
ENSG00000187955.13,0.5079455104671493,0.49051468626218275,0.001302773948379754
ENSG00000270560.1,0.0,0.25,0.0
ENSG00000141449.16,0.7780505426637908,0.5281025276629729,0.007342467241172649
ENSG00000185803.12,0.8311294513151006,0.6556540511077164,0.3286664333877273
ENSG00000242943.1,0.0,0.0,0.5
ENSG00000226245.1,0.6819406166733593,0.6103309343765807,0.14503756221112588
ENSG00000236049.1,0.0,0.0,0.0
ENSG00000204758.8,0.8210399352780299,0.3179066580140847,0.023635956157514727
ENSG00000172216.6,0.6422414629884878,0.8367852081524889,0.41176087215768065
ENSG00000267145.1,0.7153742369161871,0.11151003611321073,0.07806877761526287
ENSG00000253644.2,0.0,0.0,0.0
ENSG00000072501.19,0.9667568585576899,0.6481882718289141,0.34809520024788376
ENSG00000278438.1,0.0,0.0,0.0
ENSG00000196758.3,0.0,0.15870419729154886,0.5
ENSG00000205076.5,0.15525636773948281,0.6036188334640988,0.22510939812830116
ENSG00000232393.1,0.0,0.5259440506520697,0.5114837424009283
ENSG00000279106.1,0.0,0.4741908804004788,0.12788551529002068
ENSG00000276988.1,0.582912210935319,0.1821069033687893,0.11068008181263993
ENSG00000167977.9,0.997151012275421,0.49465770562701616,0.3347852553383128
ENSG00000273989.1,0.7825110405741098,0.4935723157604196,0.1312689759867513
ENSG00000243838.1,0.39889617561353047,0.3464067989092793,0.11615115343096574
ENSG00000236648.2,0.0,0.25,0.0
ENSG00000211623.2,0.0,0.0,0.0
ENSG00000077327.16,0.478988454167251,0.6604334990956784,0.3432988504507226
ENSG00000230119.1,0.0,0.0,0.0
ENSG00000205184.2,0.5,0.0,0.0
ENSG00000226533.1,0.0,0.25,0.0
ENSG00000278588.2,0.15462314912448308,0.4752683872702697,0.0
ENSG00000230704.1,0.0,0.0,0.0
