,30-39,40-49,50-59,60-69,70-79
ENSG00000285159.1,0.011914460254696009,0.014993575462881,0.012476994730621582,0.017304590370282643,0.006599878351830745
ENSG00000274601.1,0.0,0.0,0.0,0.0,0.0
ENSG00000214558.4,0.13237655050085154,0.1387758143775589,0.14199884928433007,0.13483646950439943,0.11700449301283773
ENSG00000228013.1,0.08375273680792958,0.08501508540117661,0.08736540952098744,0.08573436048104244,0.06216612925076286
ENSG00000139343.11,0.3420020805789667,0.3266418306372395,0.317521501661946,0.3589320204363565,0.3692641651793437
ENSG00000218410.1,0.005353321170720951,0.02466250987220047,0.013976631777239906,0.012086737172329134,0.012971527785387056
ENSG00000262920.5,0.034022244152154456,0.04588774902338156,0.02427895990223534,0.024842302434027647,0.07108884841125278
ENSG00000214837.8,0.2526333042560874,0.27031601428810503,0.2475546466039112,0.23854814236360908,0.2526300979796058
ENSG00000252984.1,0.014155825578190707,0.0,0.007766536246990204,0.0,0.0
ENSG00000183597.16,0.39033166402897457,0.4447139419506464,0.43002368850351336,0.40830092032490123,0.34955570961126736
ENSG00000269855.3,0.10844473723467697,0.10030477300195059,0.08564553526435428,0.08576880182924931,0.07940901861202417
ENSG00000248347.3,0.00603552788669387,0.007001696032627629,0.014515084180648822,0.017777178286165304,0.03902690397215998
ENSG00000231053.1,0.012761511061860397,0.011844155885609832,0.02750474126120689,0.02257039338933521,0.06449815486512087
ENSG00000213901.11,0.19974085750759907,0.24117415665506803,0.21272299054542054,0.17201064966345767,0.183105688209591
ENSG00000188312.14,0.35571919560926357,0.3714179983430397,0.38641780474517445,0.40435947498095365,0.4319881759081661
ENSG00000207157.1,0.0,0.0,0.0077313386166840475,0.004761904761904762,0.0
ENSG00000267658.1,0.12238605933545711,0.145407169810425,0.13054408992311747,0.1472463584799171,0.1928828644608823
ENSG00000175470.20,0.18160765370243762,0.20168891578142434,0.1851182384853238,0.17144831301482144,0.15600521247145724
ENSG00000276046.1,0.0,0.0,0.0,0.0,0.0
ENSG00000259002.2,0.04765590652110644,0.05291681730616408,0.049380430961729886,0.04060544349353014,0.020353894000103387
ENSG00000234832.1,0.20418287582948033,0.22113585922932924,0.19986877233321335,0.19017842192436182,0.22382849753748563
ENSG00000183479.13,0.19001912788012276,0.1893698240398935,0.18614664034292652,0.17831540245404762,0.1990001464386856
ENSG00000104957.14,0.22804216507052089,0.2520994897415776,0.22414179576153273,0.20204618996969495,0.18260355628988756
ENSG00000099260.12,0.12862001425107536,0.14259639190230297,0.11328526107617075,0.098247546598169,0.12543488999424413
ENSG00000243018.1,0.08817966530452709,0.10897733509517367,0.08959200999798045,0.09630749512339352,0.11179242380051535
ENSG00000260495.1,0.30812981780280563,0.30567903780828104,0.30464955770276564,0.2993526725544795,0.3747366706458756
ENSG00000227484.1,0.033190752559310616,0.054886524897898824,0.052200113482638706,0.05636687232635831,0.022614441960216187
ENSG00000285448.1,0.04117394876729319,0.009439595982535257,0.020276194909421893,0.020717691235841273,0.0
ENSG00000288996.1,0.13650847619759784,0.10718494880903481,0.11102131371777912,0.10111092086268844,0.10282304132454266
ENSG00000252373.1,0.013449480168028431,0.009410167596923542,0.0,0.01108067769889384,0.0
ENSG00000118004.18,0.06919205365434711,0.07730017088088,0.05627011094935764,0.06015723681950114,0.04732108685617485
ENSG00000206948.1,0.0,0.0,0.0,0.0,0.0
ENSG00000226029.1,0.30917243987092996,0.29843114388091213,0.31622472717219047,0.3219895453919892,0.37449501218564285
ENSG00000266718.2,0.17251578847077248,0.20123029241087062,0.20283725961466828,0.1861732299514462,0.24239557107663987
ENSG00000087053.20,0.45840513282755013,0.48466504041686914,0.4614879749465626,0.46267849288756047,0.45867300372791175
ENSG00000218890.1,0.13930138169327458,0.15266877179828986,0.13687276738227003,0.14931438527497967,0.2027940677841866
ENSG00000222305.1,0.031394176975082864,0.036344629012172315,0.04823299296358922,0.030023396442848134,0.050825955313427755
ENSG00000234933.1,0.0794660704277975,0.0743453826514727,0.06008801220468581,0.05358489509665253,0.055181714600031434
ENSG00000166913.13,0.46822751570940657,0.4983165999963688,0.5020116528097188,0.5048050422895639,0.461713755577255
ENSG00000228606.3,0.3228534144542544,0.3423286829422551,0.30829848812073923,0.27829949471586685,0.3204791663609142
ENSG00000280660.1,0.015753260832252758,0.015906627083040352,0.012830495444638075,0.022745717807047698,0.04411797584812433
ENSG00000230725.6,0.09441277160938251,0.12323922668514431,0.1378838433512753,0.14031768792383786,0.10831323864065043
ENSG00000287655.1,0.09709056749782559,0.1045921264831583,0.1241363639481834,0.10084118428669553,0.13058664585933716
ENSG00000143318.13,0.006835995563755264,0.010331220441685997,0.010650949944965958,0.013944270172442801,0.005157975791204247
ENSG00000233716.1,0.08852018242582711,0.111058892831244,0.09085378453475898,0.0998162727356163,0.11443739753563646
ENSG00000289287.1,0.018336192109777015,0.005891252144082333,0.0018903690369036904,0.011685021645021644,0.017545454545454545
ENSG00000011566.15,0.2825067118709643,0.2973653797295355,0.28036138797288823,0.2507077156944729,0.2733819479221101
ENSG00000199878.1,0.0,0.0,0.0,0.0,0.0
ENSG00000238962.1,0.0,0.0,0.0,0.0,0.0
ENSG00000244356.3,0.00712288894254706,0.03927631751440706,0.03199126459074037,0.03806778548857429,0.04877618676918781
ENSG00000187955.13,0.017851792170875472,0.02171180036575287,0.021411062551526222,0.015318459898662037,0.00999783688903784
ENSG00000270560.1,0.0,0.03249747573877463,0.020589908891285914,0.001123240465967803,0.0
ENSG00000141449.16,0.1287863918778122,0.18054212049642146,0.1903261501199396,0.1682294516529954,0.1930303089703878
ENSG00000185803.12,0.2916772146874975,0.3186250436761151,0.31130247083071705,0.30488627496716403,0.2713430847634995
ENSG00000242943.1,0.0,0.017391124033745445,0.02500070558623675,0.004253229036001987,0.0
ENSG00000226245.1,0.3023130960554363,0.3182251063144579,0.3148879106391191,0.31064405091158304,0.3590985402156125
ENSG00000236049.1,0.057455886136677965,0.11033304608351005,0.07119591694437498,0.06392975235188349,0.0724429054347087
ENSG00000204758.8,0.2903867736675436,0.26974806503964566,0.26245359070779045,0.2409239475118354,0.26612637305850784
ENSG00000172216.6,0.15731668019867087,0.18601017700511588,0.14288163656067582,0.11735048591877723,0.08716826321476753
ENSG00000267145.1,0.026563936008290247,0.05107321151976031,0.02637926742085502,0.04739967909241671,0.01889523298148171
ENSG00000253644.2,0.016965305799463756,0.007205383860356025,0.023046237152950587,0.0,0.0
ENSG00000072501.19,0.3143245592753531,0.3126275904571191,0.31359267796991197,0.31933836262069504,0.3596467711609704
ENSG00000278438.1,0.0,0.0,0.0,0.011506514641373531,0.0
ENSG00000196758.3,0.00567994882105648,0.007563551211706321,0.005331509434986635,0.00876620013752165,0.02024571115230958
ENSG00000205076.5,0.03150809424954261,0.030602041227816998,0.03429471435972207,0.022172568934776423,0.019105405028740023
